Diagnostico_transcrito,Diagnostico_estandar,Diagnostico_extendido,Freq,Npartes,Nfalta,IDs,Diagnostico_clasificacion
An Parto D,AN+PartoDis,anemia + parto distosico,1,2,0,BO_1979_05024,"Embarazo, parto y puerperio"
Parto distosico AN x Rup Uterino,AN+PartoDis+Rup+Utero,anemia + parto distosico + ruptura + utero,1,4,0,BO_1974_01633,"Causas externas de morbilidad y de mortalidad + Embarazo, parto y puerperio"
ANxRupUterina PD,AN+PartoDis+Rup+Utero,anemia + parto distosico + ruptura + utero,1,4,0,BO_1975_00576,"Causas externas de morbilidad y de mortalidad + Embarazo, parto y puerperio"
ANxRupCuelloV y PartoDistosico,AN+PartoDis+Rup+Vag,anemia + parto distosico + ruptura + vagina,1,4,0,BO_1975_04249,"Causas externas de morbilidad y de mortalidad + Embarazo, parto y puerperio"
Anxpencion Per,AN+PER,anemia + peritonitis o perforacion,1,3,1,BO_1975_03665,Enfermedades del sistema digestivo
ANxUteroP,AN+PER+Utero,anemia + peritonitis o perforacion + utero,1,3,0,BO_1975_03755,Enfermedades del sistema digestivo
RotPlacenta+AN,AN+Placenta+Ret,anemia + placenta + retencion,1,3,0,BO_1978_04654,"Embarazo, parto y puerperio"
ANxRetRest,AN+Placenta+Ret,anemia + placenta + retencion,1,4,1,BO_1975_04817,"Embarazo, parto y puerperio"
AnxRet.RestosPlacent.,AN+Placenta+Ret,anemia + placenta + retencion,1,4,1,BO_1976_02731,"Embarazo, parto y puerperio"
AnxRetPlace,AN+Placenta+Ret,anemia + placenta + retencion,1,3,0,BO_1975_00939,"Embarazo, parto y puerperio"
AnxRetPla,AN+Placenta+Ret,anemia + placenta + retencion,1,3,0,BO_1979_04425,"Embarazo, parto y puerperio"
AnReTPlac,AN+Placenta+Ret,anemia + placenta + retencion,1,3,0,BO_1978_01693,"Embarazo, parto y puerperio"
AnPostParto,AN+PostParto,anemia + postparto,3,2,0,"BO_1975_03332,BO_1977_02604,BO_1977_02718","Embarazo, parto y puerperio"
AN PostParto,AN+PostParto,anemia + postparto,1,2,0,BO_1979_01593,"Embarazo, parto y puerperio"
AN POST PART,AN+PostParto,anemia + postparto,1,2,0,BO_1974_00012,"Embarazo, parto y puerperio"
AN A PostParto,AN+PostParto,anemia + postparto,1,2,0,BO_1975_05061,"Embarazo, parto y puerperio"
AN POS,AN+PostParto,anemia + postparto,1,2,0,BO_1974_04172,"Embarazo, parto y puerperio"
An postParto,AN+PostParto,anemia + postparto,1,2,0,BO_1975_01898,"Embarazo, parto y puerperio"
An Post,AN+PostParto,anemia + postparto,1,2,0,BO_1977_00068,"Embarazo, parto y puerperio"
An Post P,AN+PostParto,anemia + postparto,1,2,0,BO_1979_03094,"Embarazo, parto y puerperio"
An Post Parto,AN+PostParto,anemia + postparto,1,2,0,BO_1975_01624,"Embarazo, parto y puerperio"
An. Post. Parto,AN+PostParto,anemia + postparto,1,2,0,BO_1976_01546,"Embarazo, parto y puerperio"
AnPosParto,AN+PostParto,anemia + postparto,1,2,0,BO_1979_04716,"Embarazo, parto y puerperio"
Anxparto,AN+PostParto,anemia + postparto,1,2,0,BO_1979_01963,"Embarazo, parto y puerperio"
AnPostPar,AN+PostParto,anemia + postparto,1,2,0,BO_1975_00917,"Embarazo, parto y puerperio"
Anemia Aguda Post Parto,AN+PostParto,anemia + postparto,1,2,0,BO_1978_00220,"Embarazo, parto y puerperio"
AnemiaPostParto,AN+PostParto,anemia + postparto,1,2,0,BO_1975_03286,"Embarazo, parto y puerperio"
Desgarro vaginal post parto + AN,AN+PostParto+Vag,anemia + postparto + vagina,1,4,1,BO_1974_01483,"Embarazo, parto y puerperio"
Quem+An,AN+Quem,anemia + quemaduras,1,2,0,BO_1976_03958,Causas externas de morbilidad y de mortalidad
An+Quem,AN+Quem,anemia + quemaduras,1,2,0,BO_1979_05317,Causas externas de morbilidad y de mortalidad
ANxRup Vasos Fam,AN+Rup,anemia + ruptura,1,4,2,BO_1975_05979,Causas externas de morbilidad y de mortalidad
RupUtero+An,AN+Rup+Utero,anemia + ruptura + utero,1,3,0,BO_1976_03171,Causas externas de morbilidad y de mortalidad
AN RUP UTERO,AN+Rup+Utero,anemia + ruptura + utero,1,3,0,BO_1974_04282,Causas externas de morbilidad y de mortalidad
AN+SH,AN+SH,anemia + shock,1,2,0,BO_1977_04402,
TA+An,AN+TA,anemia + traumatismo abdomen,3,2,0,"BO_1975_02622,BO_1975_02992,BO_1975_03143",Trauma
TA+AN,AN+TA,anemia + traumatismo abdomen,1,2,0,BO_1978_03414,Trauma
TB+AN,AN+TB,anemia + tuberculosis,1,2,0,BO_1974_02022,Ciertas enfermedades infecciosas y parasitarias
TB+An,AN+TB,anemia + tuberculosis,1,2,0,BO_1979_01930,Ciertas enfermedades infecciosas y parasitarias
TCE+An,AN+TCE,anemia + traumatismo craneo encefalico,1,2,0,BO_1975_04690,Trauma
TCE+An+V Cejas Stress,AN+TCE,anemia + traumatismo craneo encefalico,1,4,2,BO_1976_03496,Trauma
TM+AN,AN+TM,anemia + traumatismo multiple,4,2,0,"BO_1975_01313,BO_1975_04060,BO_1975_04814,BO_1978_01145",Trauma
TM+An,AN+TM,anemia + traumatismo multiple,3,2,0,"BO_1975_04366,BO_1976_04880,BO_1979_02065",Trauma
TMI+AN,AN+TMi,anemia + traumatismo miembro,4,2,0,"BO_1975_00638,BO_1977_04150,BO_1979_01502,BO_1979_02887",Trauma
TMI+An,AN+TMi,anemia + traumatismo miembro,4,2,0,"BO_1975_05997,BO_1976_04834,BO_1978_00539,BO_1978_02283",Trauma
TMS+AN,AN+TMiS,anemia + traumatismo miembro superior,1,2,0,BO_1974_01872,Trauma
TP+An,AN+TP,anemia + traumatismo pelvis,2,2,0,"BO_1975_05432,BO_1976_04254",Trauma
TP+AN,AN+TP,anemia + traumatismo pelvis,2,2,0,"BO_1974_03270,BO_1974_03357",Trauma
TTA+AN,AN+TTA,anemia + traumatismo torax abdomen,1,2,0,BO_1975_04372,Trauma
T Vag+AN,AN+TVag,anemia + traumatismo vaginal,1,2,0,BO_1974_05148,Trauma
Ulcera Peptica+AN,AN+Ulcera,anemia + ulcera,1,3,1,BO_1978_06610,Enfermedades del sistema digestivo
VE+AN,AN+VE,anemia + varices esofagicas,16,2,0,"BO_1975_03771,BO_1975_05938,BO_1975_06376,BO_1976_03198,BO_1976_05705",Enfermedades del sistema digestivo
VE+An,AN+VE,anemia + varices esofagicas,10,2,0,"BO_1975_00258,BO_1975_01650,BO_1975_02815,BO_1976_03786,BO_1976_04203",Enfermedades del sistema digestivo
VEAN,AN+VE,anemia + varices esofagicas,1,2,0,BO_1979_00421,Enfermedades del sistema digestivo
VEAn,AN+VE,anemia + varices esofagicas,1,2,0,BO_1975_02256,Enfermedades del sistema digestivo
VE+An+,AN+VE,anemia + varices esofagicas,1,2,0,BO_1976_02898,Enfermedades del sistema digestivo
VE+AN+,AN+VE,anemia + varices esofagicas,1,2,0,BO_1976_05802,Enfermedades del sistema digestivo
VE +AN,AN+VE,anemia + varices esofagicas,1,2,0,BO_1979_03103,Enfermedades del sistema digestivo
VE + AN,AN+VE,anemia + varices esofagicas,1,2,0,BO_1978_00016,Enfermedades del sistema digestivo
AN+VE,AN+VE,anemia + varices esofagicas,1,2,0,BO_1974_00434,Enfermedades del sistema digestivo
An+VE,AN+VE,anemia + varices esofagicas,1,2,0,BO_1977_05776,Enfermedades del sistema digestivo
ANN,ANEN,asfixia neo natorum,404,1,0,"BO_1974_02370,BO_1974_03518,BO_1974_04767,BO_1974_05304,BO_1974_05306","Embarazo, parto y puerperio"
ANEN,ANEN,asfixia neo natorum,103,1,0,"BO_1974_03633,BO_1974_05307,BO_1974_05312,BO_1974_05313,BO_1974_05322","Embarazo, parto y puerperio"
A NE N,ANEN,asfixia neo natorum,29,1,0,"BO_1975_00315,BO_1978_06260,BO_1978_06343,BO_1978_06786,BO_1978_06854","Embarazo, parto y puerperio"
A. NE. N,ANEN,asfixia neo natorum,15,1,0,"BO_1977_06891,BO_1977_06937,BO_1977_06938,BO_1977_06939,BO_1977_06941","Embarazo, parto y puerperio"
A.NEO.N,ANEN,asfixia neo natorum,7,1,0,"BO_1977_06759,BO_1977_06775,BO_1977_06828,BO_1977_06928,BO_1977_06929","Embarazo, parto y puerperio"
ANEON,ANEN,asfixia neo natorum,5,1,0,"BO_1975_06632,BO_1979_05752,BO_1979_05894,BO_1979_07209,BO_1979_07223","Embarazo, parto y puerperio"
ANNEN,ANEN,asfixia neo natorum,2,1,0,"BO_1979_07085,BO_1979_07086","Embarazo, parto y puerperio"
ANON,ANEN,asfixia neo natorum,1,1,0,BO_1979_07099,"Embarazo, parto y puerperio"
ANeN,ANEN,asfixia neo natorum,1,1,0,BO_1975_06686,"Embarazo, parto y puerperio"
ANoN,ANEN,asfixia neo natorum,1,1,0,BO_1975_06581,"Embarazo, parto y puerperio"
ANEM,ANEN,asfixia neo natorum,1,1,0,BO_1976_01205,"Embarazo, parto y puerperio"
ANENN,ANEN,asfixia neo natorum,1,1,0,BO_1975_01183,"Embarazo, parto y puerperio"
A.NE.N,ANEN,asfixia neo natorum,1,1,0,BO_1977_06783,"Embarazo, parto y puerperio"
A.Neo.N,ANEN,asfixia neo natorum,1,1,0,BO_1977_06859,"Embarazo, parto y puerperio"
ExpPSM+ANN,ANEN+EXPSM,asfixia neo natorum + expulsion prematura del seno materno,1,2,0,BO_1975_06445,"Embarazo, parto y puerperio"
TCE+ANN,ANEN+TCE,asfixia neo natorum + traumatismo craneo encefalico,1,2,0,BO_1976_06614,"Embarazo, parto y puerperio + Trauma"
Anencefalia,Anencefalia,anencefalia,8,1,0,"BO_1974_05319,BO_1974_05508,BO_1975_06578,BO_1977_06787,BO_1977_06852","Malformaciones  congénitas, deformidades y anomalías cromosómicas"
ANEURISMA,Aneurisma,aneurisma,2,1,0,"BO_1978_01353,BO_1978_04807",Enfermedades del sistema circulatorio
Aneurisma Aorta AB,Aneurisma,aneurisma,1,3,2,BO_1975_02067,Enfermedades del sistema circulatorio
Aneurisma Aortico,Aneurisma,aneurisma,1,2,1,BO_1977_00309,Enfermedades del sistema circulatorio
Aneurisma de Ventriculo izq,Aneurisma,aneurisma,1,2,1,BO_1975_00243,Enfermedades del sistema circulatorio
Aneurisma Abdominal + BN,Aneurisma+BN,aneurisma + bronconeumonia,1,3,1,BO_1977_00805,Enfermedades del sistema circulatorio + Enfermedades del sistema respiratorio
Aneurisma C,Aneurisma+CH,aneurisma + cirrosis hepatica,1,2,0,BO_1975_02338,Enfermedades del sistema circulatorio + Enfermedades del sistema digestivo
Anoxia,Anoxia,anoxia,9,1,0,"BO_1975_06559,BO_1977_06760,BO_1977_06762,BO_1977_06865,BO_1977_06884",Causas externas de morbilidad y de mortalidad
ANOXIA,Anoxia,anoxia,9,1,0,"BO_1979_02481,BO_1979_02777,BO_1979_02801,BO_1979_07092,BO_1979_07148",Causas externas de morbilidad y de mortalidad
Anoxia Intrav,Anoxia,anoxia,1,2,1,BO_1975_06539,Causas externas de morbilidad y de mortalidad
Anoxia Post T,Anoxia,anoxia,1,2,1,BO_1974_05321,Causas externas de morbilidad y de mortalidad
Anoxia.InT.,Anoxia,anoxia,1,2,1,BO_1977_06887,Causas externas de morbilidad y de mortalidad
AnoxiaFetal,Anoxia+Fetal,anoxia + fetal,2,2,0,"BO_1975_06436,BO_1975_06437","Causas externas de morbilidad y de mortalidad + Embarazo, parto y puerperio"
Anoxia Fetal,Anoxia+Fetal,anoxia + fetal,1,2,0,BO_1975_06512,"Causas externas de morbilidad y de mortalidad + Embarazo, parto y puerperio"
AOVA,AOVA,asfixia por obstruccion de vias aereas,791,1,0,"BO_1974_00040,BO_1974_00178,BO_1974_00184,BO_1974_00247,BO_1974_00329",Causas externas de morbilidad y de mortalidad
AOV,AOVA,asfixia por obstruccion de vias aereas,9,1,0,"BO_1974_03220,BO_1977_00131,BO_1977_00313,BO_1977_00443,BO_1977_02571",Causas externas de morbilidad y de mortalidad
AOVAS,AOVA,asfixia por obstruccion de vias aereas,4,1,0,"BO_1974_04073,BO_1974_04100,BO_1974_05393,BO_1979_01485",Causas externas de morbilidad y de mortalidad
AO,AOVA,asfixia por obstruccion de vias aereas,2,1,0,"BO_1974_05599,BO_1977_02463",Causas externas de morbilidad y de mortalidad
TCuello+AOVA,AOVA,asfixia por obstruccion de vias aereas,1,2,1,BO_1977_01269,Causas externas de morbilidad y de mortalidad
AOVA (piedra),AOVA,asfixia por obstruccion de vias aereas,1,2,1,BO_1979_00914,Causas externas de morbilidad y de mortalidad
AOVA COST,AOVA,asfixia por obstruccion de vias aereas,1,2,1,BO_1978_02762,Causas externas de morbilidad y de mortalidad
AOVA Frac Huesos Nariz,AOVA,asfixia por obstruccion de vias aereas,1,4,3,BO_1977_04969,Causas externas de morbilidad y de mortalidad
AOxLesion,AOVA,asfixia por obstruccion de vias aereas,1,2,1,BO_1976_06824,Causas externas de morbilidad y de mortalidad
AOxMordCan,AOVA,asfixia por obstruccion de vias aereas,1,2,1,BO_1976_06772,Causas externas de morbilidad y de mortalidad
APOVA+VA,AOVA,asfixia por obstruccion de vias aereas,1,2,1,BO_1979_02350,Causas externas de morbilidad y de mortalidad
APOVASA,AOVA,asfixia por obstruccion de vias aereas,1,2,1,BO_1979_05593,Causas externas de morbilidad y de mortalidad
APOVASCE,AOVA,asfixia por obstruccion de vias aereas,1,2,1,BO_1978_02285,Causas externas de morbilidad y de mortalidad
APOVASPCGaeo,AOVA,asfixia por obstruccion de vias aereas,1,2,1,BO_1978_05051,Causas externas de morbilidad y de mortalidad
APOVASPPA,AOVA,asfixia por obstruccion de vias aereas,1,2,1,BO_1979_02351,Causas externas de morbilidad y de mortalidad
AOX,AOVA,asfixia por obstruccion de vias aereas,1,1,0,BO_1976_00961,Causas externas de morbilidad y de mortalidad
AOVA+,AOVA,asfixia por obstruccion de vias aereas,1,1,0,BO_1976_04790,Causas externas de morbilidad y de mortalidad
AOVA+CHOE,AOVA,asfixia por obstruccion de vias aereas,1,2,1,BO_1976_04696,Causas externas de morbilidad y de mortalidad
AOVA+IA,AOVA,asfixia por obstruccion de vias aereas,1,2,1,BO_1974_01264,Causas externas de morbilidad y de mortalidad
AOVA+IP,AOVA,asfixia por obstruccion de vias aereas,1,2,1,BO_1974_01458,Causas externas de morbilidad y de mortalidad
AOVA+LDE,AOVA,asfixia por obstruccion de vias aereas,1,2,1,BO_1976_05907,Causas externas de morbilidad y de mortalidad
AOVA+T,AOVA,asfixia por obstruccion de vias aereas,1,2,1,BO_1975_02598,Causas externas de morbilidad y de mortalidad
AOVAsPA,AOVA,asfixia por obstruccion de vias aereas,1,2,1,BO_1979_06475,Causas externas de morbilidad y de mortalidad
HOVA,AOVA,asfixia por obstruccion de vias aereas,1,1,0,BO_1977_04237,Causas externas de morbilidad y de mortalidad
AOVA y ASB,AOVA+ASB,asfixia por obstruccion de vias aereas + asfixia por sumersion,1,2,0,BO_1978_02206,Causas externas de morbilidad y de mortalidad
AS+AOVA,AOVA+ASF,asfixia + asfixia por obstruccion de vias aereas,4,2,0,"BO_1976_02571,BO_1976_04224,BO_1977_00234,BO_1979_05173",Causas externas de morbilidad y de mortalidad
ASF+AOV,AOVA+ASF,asfixia + asfixia por obstruccion de vias aereas,1,2,0,BO_1975_03967,Causas externas de morbilidad y de mortalidad
ASF+AOVA,AOVA+ASF,asfixia + asfixia por obstruccion de vias aereas,1,2,0,BO_1978_05101,Causas externas de morbilidad y de mortalidad
AOVA+BN,AOVA+BN,asfixia por obstruccion de vias aereas + bronconeumonia,8,2,0,"BO_1975_04574,BO_1976_00299,BO_1976_05824,BO_1978_01130,BO_1978_04279",Causas externas de morbilidad y de mortalidad + Enfermedades del sistema respiratorio
BN+AOVA,AOVA+BN,asfixia por obstruccion de vias aereas + bronconeumonia,7,2,0,"BO_1974_03880,BO_1975_04849,BO_1975_06040,BO_1975_06305,BO_1977_05533",Causas externas de morbilidad y de mortalidad + Enfermedades del sistema respiratorio
AOVA+ BN,AOVA+BN,asfixia por obstruccion de vias aereas + bronconeumonia,1,2,0,BO_1975_01375,Causas externas de morbilidad y de mortalidad + Enfermedades del sistema respiratorio
AOVA+B,AOVA+BN,asfixia por obstruccion de vias aereas + bronconeumonia,1,2,0,BO_1975_03229,Causas externas de morbilidad y de mortalidad + Enfermedades del sistema respiratorio
AOVA+bn,AOVA+BN,asfixia por obstruccion de vias aereas + bronconeumonia,1,2,0,BO_1978_02510,Causas externas de morbilidad y de mortalidad + Enfermedades del sistema respiratorio
AOVA+CH,AOVA+CH,asfixia por obstruccion de vias aereas + cirrosis hepatica,6,2,0,"BO_1974_05006,BO_1975_06015,BO_1976_02076,BO_1976_05648,BO_1976_06238",Causas externas de morbilidad y de mortalidad + Enfermedades del sistema digestivo
CH+AOVA,AOVA+CH,asfixia por obstruccion de vias aereas + cirrosis hepatica,1,2,0,BO_1977_05336,Causas externas de morbilidad y de mortalidad + Enfermedades del sistema digestivo
AOVA+CVG,AOVA+CVG,asfixia por obstruccion de vias aereas + congestion visceral generalizada,5,2,0,"BO_1974_01032,BO_1974_04284,BO_1975_05740,BO_1977_05219,BO_1978_05853",Causas externas de morbilidad y de mortalidad
CVG+AOVA,AOVA+CVG,asfixia por obstruccion de vias aereas + congestion visceral generalizada,2,2,0,"BO_1976_04698,BO_1978_00645",Causas externas de morbilidad y de mortalidad
AOVA+CV,AOVA+CVG,asfixia por obstruccion de vias aereas + congestion visceral generalizada,1,2,0,BO_1978_00500,Causas externas de morbilidad y de mortalidad
AOxElectrocucion,AOVA+Electroc,asfixia por obstruccion de vias aereas + electrocucion,2,2,0,"BO_1976_06844,BO_1976_06845",Causas externas de morbilidad y de mortalidad
ELECTROCUTADO AOVA,AOVA+Electroc,asfixia por obstruccion de vias aereas + electrocucion,1,2,0,BO_1974_02099,Causas externas de morbilidad y de mortalidad
AOVA+Enter,AOVA+ENT,asfixia por obstruccion de vias aereas + enteritis,1,2,0,BO_1975_03675,Causas externas de morbilidad y de mortalidad + Enfermedades del sistema digestivo
AOxGangrenaxElec,AOVA+Gang,asfixia por obstruccion de vias aereas + gangrena,1,3,1,BO_1976_06875,Causas externas de morbilidad y de mortalidad + Enfermedades de la piel y del tejido subcutáneo
AOxGangrena,AOVA+Gang,asfixia por obstruccion de vias aereas + gangrena,1,2,0,BO_1976_06881,Causas externas de morbilidad y de mortalidad + Enfermedades de la piel y del tejido subcutáneo
AOxGang+Quem,AOVA+Gang+Quem,asfixia por obstruccion de vias aereas + gangrena + quemaduras,1,3,0,BO_1976_06793,Causas externas de morbilidad y de mortalidad + Enfermedades de la piel y del tejido subcutáneo
AOxHCC,AOVA+HC,asfixia por obstruccion de vias aereas + hemorragia cerebral o herida cortante,1,2,0,BO_1976_06798,Causas externas de morbilidad y de mortalidad
AOVA+HC,AOVA+HC,asfixia por obstruccion de vias aereas + hemorragia cerebral o herida cortante,1,2,0,BO_1976_03586,Causas externas de morbilidad y de mortalidad
HC+AOVA,AOVA+HC,asfixia por obstruccion de vias aereas + hemorragia cerebral o herida cortante,1,2,0,BO_1979_05920,Causas externas de morbilidad y de mortalidad
HPAFP AOVA,AOVA+HPAF,asfixia por obstruccion de vias aereas + herida arma fuego,1,2,0,BO_1976_03056,Causas externas de morbilidad y de mortalidad + Herida por arma de fuego
AOVA x HPAFPCuello,AOVA+HPAFCu,asfixia por obstruccion de vias aereas + herida arma fuego cuello,1,2,0,BO_1978_03628,Causas externas de morbilidad y de mortalidad + Herida por arma de fuego
"AOxInsuf, Vascular Perif.",AOVA+Insuf+Vascu,asfixia por obstruccion de vias aereas + insuficiencia + vascular,1,4,1,BO_1976_06854,Causas externas de morbilidad y de mortalidad
AOVA+Int,AOVA+Intox,asfixia por obstruccion de vias aereas + intoxicacion,1,2,0,BO_1979_01229,Causas externas de morbilidad y de mortalidad
AOVA+Intox,AOVA+Intox,asfixia por obstruccion de vias aereas + intoxicacion,1,2,0,BO_1979_03435,Causas externas de morbilidad y de mortalidad
AOVA+LOC,AOVA+LOC,asfixia por obstruccion de vias aereas + enfermedad organica del corazon,6,2,0,"BO_1975_03834,BO_1975_04434,BO_1976_00422,BO_1976_04455,BO_1978_01233",Causas externas de morbilidad y de mortalidad + Enfermedades del sistema circulatorio
LOC+AOVA,AOVA+LOC,asfixia por obstruccion de vias aereas + enfermedad organica del corazon,1,2,0,BO_1979_04968,Causas externas de morbilidad y de mortalidad + Enfermedades del sistema circulatorio
AOVA + LOC,AOVA+LOC,asfixia por obstruccion de vias aereas + enfermedad organica del corazon,1,2,0,BO_1975_00448,Causas externas de morbilidad y de mortalidad + Enfermedades del sistema circulatorio
AOVA+LOP,AOVA+LOC,asfixia por obstruccion de vias aereas + enfermedad organica del corazon,1,2,0,BO_1978_03099,Causas externas de morbilidad y de mortalidad + Enfermedades del sistema circulatorio
Rup AOVA nal + LOC,AOVA+LOC+Rup,asfixia por obstruccion de vias aereas + enfermedad organica del corazon + ruptura,1,4,1,BO_1976_01642,Causas externas de morbilidad y de mortalidad + Enfermedades del sistema circulatorio
AOVA+N,AOVA+N,asfixia por obstruccion de vias aereas + neumonia,1,2,0,BO_1975_03499,Causas externas de morbilidad y de mortalidad + Enfermedades del sistema respiratorio
AOxNecrosis,AOVA+Necro,asfixia por obstruccion de vias aereas + necrosis,1,2,0,BO_1976_06857,Causas externas de morbilidad y de mortalidad + Enfermedades de la piel y del tejido subcutáneo
AOVA+Panc,AOVA+Pancrea,asfixia por obstruccion de vias aereas + pancreatitis,1,2,0,BO_1976_02272,Causas externas de morbilidad y de mortalidad + Enfermedades del sistema digestivo
AOVA+Panc.,AOVA+Pancrea,asfixia por obstruccion de vias aereas + pancreatitis,1,2,0,BO_1977_05390,Causas externas de morbilidad y de mortalidad + Enfermedades del sistema digestivo
PN+AxOVA,AOVA+PN,asfixia por obstruccion de vias aereas + pleuro pneumonia,1,2,0,BO_1976_05945,Causas externas de morbilidad y de mortalidad + Enfermedades del sistema respiratorio
AOxQuem,AOVA+Quem,asfixia por obstruccion de vias aereas + quemaduras,4,2,0,"BO_1976_06797,BO_1976_06800,BO_1976_06828,BO_1976_06840",Causas externas de morbilidad y de mortalidad
Quem+AOVA,AOVA+Quem,asfixia por obstruccion de vias aereas + quemaduras,3,2,0,"BO_1977_02052,BO_1978_02566,BO_1978_04119",Causas externas de morbilidad y de mortalidad
AOVA+Quemaduras,AOVA+Quem,asfixia por obstruccion de vias aereas + quemaduras,1,2,0,BO_1975_04281,Causas externas de morbilidad y de mortalidad
AO+S,AOVA+Septi,asfixia por obstruccion de vias aereas + septicemia,1,2,0,BO_1979_01131,Causas externas de morbilidad y de mortalidad + Ciertas enfermedades infecciosas y parasitarias
TCA+AO,AOVA+TAC,asfixia por obstruccion de vias aereas + traumatismo abdomen craneo,1,2,0,BO_1975_05428,Causas externas de morbilidad y de mortalidad + Trauma
AOVA+TB,AOVA+TB,asfixia por obstruccion de vias aereas + tuberculosis,2,2,0,"BO_1974_02502,BO_1975_05012",Causas externas de morbilidad y de mortalidad + Ciertas enfermedades infecciosas y parasitarias
