Procedencia_transcrito,Procedencia_estandar,Procedencia_extendido,Freq,Npartes,Nfalta,IDs,Procedencia_alcaldia
7,CUH-6,Coord Territorial 6 Cuauhtemoc (Col Centro),281,1,0,"BO_1980_00025,BO_1980_00048,BO_1980_00054,BO_1980_00113,BO_1980_00119",Cuauhtemoc
VC-II,VC-2,Coord Territorial 2 Venustiano Carranza (Col Moctezuma 2a Seccion),281,1,0,"BO_1976_00004,BO_1976_00006,BO_1976_00043,BO_1976_00050,BO_1976_00055",Venustiano Carranza
MH-1,MH-1,Coord Territorial 1 Miguel Hidalgo – Hospital Ruben Leñero (Col Tacuba),268,1,0,"BO_1975_00103,BO_1975_00150,BO_1975_00264,BO_1975_00323,BO_1975_00487",Miguel Hidalgo
38,COY-5,Coord Territorial 5 Coyoacan (Col CTM-Culhuacan),266,1,0,"BO_1978_04143,BO_1980_00059,BO_1980_00082,BO_1980_00138,BO_1980_00177",Coyoacan
IZO-1,IZC-1,Coord Territorial 1 Iztacalco (Col Santa Anita),256,1,0,"BO_1975_00002,BO_1975_00053,BO_1975_00210,BO_1975_00212,BO_1975_00225",Iztacalco
25a,MC-2,Coord Territorial 2 Magdalena Contreras (Col Barranca Seca),252,1,0,"BO_1974_00041,BO_1974_00247,BO_1974_00274,BO_1974_00327,BO_1974_00640",Magdalena Contreras
8,BJ-3,Coord Territorial 3 Benito Juarez (Col Zacahuizco),247,1,0,"BO_1980_00018,BO_1980_00028,BO_1980_00034,BO_1980_00104,BO_1980_00118",Benito Juarez
TP-1,TLP-1,Coord Territorial 1 Tlalpan (Col Ampliacion Miguel Hidalgo),245,1,0,"BO_1975_00029,BO_1975_00070,BO_1975_00104,BO_1975_00110,BO_1975_00115",Tlalpan
IZA-1,IZP-1,Coord Territorial 1 Iztapalapa (Barrio de San Lucas),241,1,0,"BO_1975_00005,BO_1975_00174,BO_1975_00199,BO_1975_00200,BO_1975_00267",Iztapalapa
28a,TLH-2,Coord Territorial 2 Tlahuac (Col Barrio La Asuncion),238,1,0,"BO_1974_00191,BO_1974_00246,BO_1974_00276,BO_1974_00377,BO_1974_00611",Tlahuac
15,GAM-2,Coord Territorial 2 Gustavo A Madero (Col Aragon La Villa),238,1,0,"BO_1978_04459,BO_1980_00011,BO_1980_00084,BO_1980_00112,BO_1980_00174",Gustavo A Madero
16,GAM-7,Coord Territorial 7 Gustavo A Madero (Col San Juan de Aragon),237,1,0,"BO_1980_00012,BO_1980_00019,BO_1980_00250,BO_1980_00583,BO_1980_00687",Gustavo A Madero
CH-1,CUH-1,Coord Territorial 1 Cuauhtemoc (Col San Simon Tolnahuac),233,1,0,"BO_1975_00019,BO_1975_00022,BO_1975_00036,BO_1975_00099,BO_1975_00105",Cuauhtemoc
HRL,HGRL,Hospital Ruben Leñero (Col Santo Tomas),232,1,0,"BO_1969_01119,BO_1973_01566,BO_1973_01567,BO_1973_01568,BO_1974_00031",Miguel Hidalgo
10,BJ-1,Coord Territorial 1 Benito Juarez (Col Santa Cruz Atoyac),232,1,0,"BO_1980_00226,BO_1980_00320,BO_1980_00386,BO_1980_00446,BO_1980_00460",Benito Juarez
IZA-II,IZP-2,Coord Territorial 2 Iztapalapa (Barrio Santa Barbara),223,1,0,"BO_1976_00070,BO_1976_00071,BO_1976_00101,BO_1976_00106,BO_1976_00153",Iztapalapa
BJ-1,BJ-1,Coord Territorial 1 Benito Juarez (Col Santa Cruz Atoyac),218,1,0,"BO_1975_00007,BO_1975_00107,BO_1975_00136,BO_1975_00240,BO_1975_00293",Benito Juarez
Iztacalco,IZC-1,Coord Territorial 1 Iztacalco (Col Santa Anita),217,1,0,"BO_1968_00760,BO_1968_00770,BO_1968_00798,BO_1968_00827,BO_1968_00838",Iztacalco
2a Deleg,VC-1,Coord Territorial 1 Venustiano Carranza (Col Merced),205,1,0,"BO_1969_00808,BO_1969_00850,BO_1971_00894,BO_1971_00895,BO_1971_00907",Venustiano Carranza
2a deleg,VC-1,Coord Territorial 1 Venustiano Carranza (Col Merced),203,1,0,"BO_1969_00825,BO_1969_00829,BO_1969_00861,BO_1969_00862,BO_1969_00867",Venustiano Carranza
GAM-2,GAM-2,Coord Territorial 2 Gustavo A Madero (Col Aragon La Villa),201,1,0,"BO_1975_00008,BO_1975_00014,BO_1975_00088,BO_1975_00146,BO_1975_00363",Gustavo A Madero
C-I,CUH-1,Coord Territorial 1 Cuauhtemoc (Col San Simon Tolnahuac),201,1,0,"BO_1975_03334,BO_1975_03335,BO_1976_00019,BO_1976_00032,BO_1976_00089",Cuauhtemoc
