Procedencia_transcrito,Procedencia_estandar,Procedencia_extendido,Freq,Npartes,Nfalta,IDs,Procedencia_alcaldia
HX/12a,BJ-2+HX,Coord Territorial 2 Benito Juarez (Col Santa Cruz Atoyac) + Hospital Xoco (Col General Anaya),1,2,0,BO_1974_03450,Benito Juarez
hx,HX,Hospital Xoco (Col General Anaya),1,1,0,BO_1974_04344,Benito Juarez
VC-HB-MH-CR,CR+HB,Cruz Roja (Col Polanco) + Hospital Balbuena (Col Jardin Balbuena),1,2,0,BO_1975_02522,Miguel Hidalgo + Venustiano Carranza
novena delegacion 29946,MH-1,Coord Territorial 1 Miguel Hidalgo – Hospital Ruben Leñero (Col Tacuba),1,1,0,BO_1970_04992,Miguel Hidalgo
HX-CO-1,COY-1+HX,Coord Territorial 1 Coyoacan (Col Romero de Terreros) + Hospital Xoco (Col General Anaya),1,2,0,BO_1975_05436,Benito Juarez + Coyoacan
HX-IZA-1,HX+IZP-1,Coord Territorial 1 Iztapalapa (Barrio de San Lucas) + Hospital Xoco (Col General Anaya),1,2,0,BO_1975_05265,Benito Juarez + Iztapalapa
Hdz juarez 20a,IZP-5,Coord Territorial 5 Iztapalapa (Col V Guerrero),1,2,1,BO_1973_05439,Iztapalapa
H.Villa,HV,Hospital la Villa (Col Granjas Modernas),1,1,0,BO_1972_01219,Gustavo A Madero
H.V.O.,VO,Villa Obregon,1,1,0,BO_1968_00866,Alvaro Obregon
iztapalapa,IZP-1,Coord Territorial 1 Iztapalapa (Barrio de San Lucas),1,1,0,BO_1969_00884,Iztapalapa
HX-IZO-1,HX+IZP-1,Coord Territorial 1 Iztapalapa (Barrio de San Lucas) + Hospital Xoco (Col General Anaya),1,2,0,BO_1975_06085,Benito Juarez + Iztapalapa
VC-HB-IZA-2,HB+IZP-2,Coord Territorial 2 Iztapalapa (Barrio Santa Barbara) + Hospital Balbuena (Col Jardin Balbuena),1,2,0,BO_1975_02953,Iztapalapa + Venustiano Carranza
iztacalco,IZC-1,Coord Territorial 1 Iztacalco (Col Santa Anita),1,1,0,BO_1973_01418,Iztacalco
ia deleg,CUH-1,Coord Territorial 1 Cuauhtemoc (Col San Simon Tolnahuac),1,1,0,BO_1973_01399,Cuauhtemoc
VC.1,VC-1,Coord Territorial 1 Venustiano Carranza (Col Merced),1,1,0,BO_1976_03921,Venustiano Carranza
Xoco+20a,IZP-5,Coord Territorial 5 Iztapalapa (Col V Guerrero),1,1,0,BO_1982_03456,Iztapalapa
Hosp. Balbuena,HB,Hospital Balbuena (Col Jardin Balbuena),1,1,0,BO_1972_01059,Venustiano Carranza
HRL-GAM-HV,GAM-5+HGRL,Coord Territorial 5 Gustavo A Madero (Col San Juan de Aragon) + Hospital Ruben Leñero (Col Santo Tomas),1,2,0,BO_1975_03153,Gustavo A Madero + Miguel Hidalgo
HB-CH-4,CUH-4,Coord Territorial 4 Cuauhtémoc (Col Centro),1,1,0,BO_1975_04581,Cuauhtemoc
HRL-AZ-1,AZC-1+HGRL,Coord Territorial 1 Azcapotzalco (Col El Rosario) + Hospital Ruben Leñero (Col Santo Tomas),1,2,0,BO_1975_04791,Azcapotzalco + Miguel Hidalgo
HRL+CH-6,CUH-6+HGRL,Coord Territorial 6 Cuauhtemoc (Col Centro) + Hospital Ruben Leñero (Col Santo Tomas),1,2,0,BO_1976_02924,Cuauhtemoc + Miguel Hidalgo
HRL AZ-1,AZC-1+HGRL,Coord Territorial 1 Azcapotzalco (Col El Rosario) + Hospital Ruben Leñero (Col Santo Tomas),1,2,0,BO_1975_01795,Azcapotzalco + Miguel Hidalgo
HB-IZO-1,IZC-1,Coord Territorial 1 Iztacalco (Col Santa Anita),1,1,0,BO_1975_06724,Iztacalco
VO-1,VO,Villa Obregon,1,1,0,BO_1975_00590,Alvaro Obregon
HB-BJ-2,BJ-2+HB,Coord Territorial 2 Benito Juarez (Col Santa Cruz Atoyac) + Hospital Balbuena (Col Jardin Balbuena),1,2,0,BO_1975_00834,Benito Juarez + Venustiano Carranza
Villa,HV,Hospital la Villa (Col Granjas Modernas),1,1,0,BO_1974_03857,Gustavo A Madero
HB-VC-2,VC-2,Coord Territorial 2 Venustiano Carranza (Col Moctezuma 2a Seccion),1,1,0,BO_1975_03054,Venustiano Carranza
HM-1,HM-1,,1,1,0,BO_1975_04639,
X-I-,XO-1,Coord Territorial 1 Xochimilco - Reclusorio Sur (Col San Mateo Jalpa),1,1,0,BO_1977_05411,Xochimilco
Vo,VO,Villa Obregon,1,1,0,BO_1973_01821,Alvaro Obregon
"HC,",CUH-7,Coord Territorial 7 Cuauhtemoc (Col Roma),1,1,0,BO_1976_03916,Cuauhtemoc
HRL-VC/HB,HB+HGRL,Hospital Balbuena (Col Jardin Balbuena) + Hospital Ruben Leñero (Col Santo Tomas),1,3,1,BO_1975_00092,Miguel Hidalgo + Venustiano Carranza
HB-AZ-1,AZC-1+HB,Coord Territorial 1 Azcapotzalco (Col El Rosario) + Hospital Balbuena (Col Jardin Balbuena),1,2,0,BO_1975_01883,Azcapotzalco + Venustiano Carranza
XX,HX,Hospital Xoco (Col General Anaya),1,1,0,BO_1974_02104,Benito Juarez
HB VC-1,HB+VC-1,Coord Territorial 1 Venustiano Carranza (Col Merced) + Hospital Balbuena (Col Jardin Balbuena),1,2,0,BO_1975_05470,Venustiano Carranza
HB GAM-HV,GAM-5+HB,Coord Territorial 5 Gustavo A Madero (Col San Juan de Aragon) + Hospital Balbuena (Col Jardin Balbuena),1,2,0,BO_1975_02604,Gustavo A Madero + Venustiano Carranza
VC-M-B,HB,Hospital Balbuena (Col Jardin Balbuena),1,1,0,BO_1975_02579,Venustiano Carranza
X-1-VC-1,VC-1+XO-1,Coord Territorial 1 Venustiano Carranza (Col Merced) + Coord Territorial 1 Xochimilco - Reclusorio Sur (Col San Mateo Jalpa),1,2,0,BO_1975_04292,Venustiano Carranza + Xochimilco
HV.,HV,Hospital la Villa (Col Granjas Modernas),1,1,0,BO_1973_04629,Gustavo A Madero
HV-CH-2,CUH-2+HV,Coord Territorial 2 Cuauhtémoc (Col Buenavista) + Hospital la Villa (Col Granjas Modernas),1,2,0,BO_1975_04628,Cuauhtemoc + Gustavo A Madero
HB MH-HRL,HGRL,Hospital Ruben Leñero (Col Santo Tomas),1,1,0,BO_1975_02098,Miguel Hidalgo
HB+5a,STCMZV,Sistema de Transporte Colectivo Metro Zarco y Violeta (Col Guerrero),1,1,0,BO_1982_03671,Cuauhtemoc
VH-1,VH-1,,1,1,0,BO_1975_03690,
HB+CH-4,CUH-4,Coord Territorial 4 Cuauhtémoc (Col Centro),1,1,0,BO_1976_04425,Cuauhtemoc
VC.2,VC-2,Coord Territorial 2 Venustiano Carranza (Col Moctezuma 2a Seccion),1,1,0,BO_1976_05341,Venustiano Carranza
VCH-B,HB,Hospital Balbuena (Col Jardin Balbuena),1,1,0,BO_1976_06304,Venustiano Carranza
HTL,HTL,,1,1,0,BO_1976_05212,
HT.B.,HB,Hospital Balbuena (Col Jardin Balbuena),1,1,0,BO_1969_02373,Venustiano Carranza
HB+VC-2,VC-2,Coord Territorial 2 Venustiano Carranza (Col Moctezuma 2a Seccion),1,1,0,BO_1976_04046,Venustiano Carranza
MH-HRL-CH-1,CUH-1+HGRL,Coord Territorial 1 Cuauhtemoc (Col San Simon Tolnahuac) + Hospital Ruben Leñero (Col Santo Tomas),1,2,0,BO_1975_04838,Cuauhtemoc + Miguel Hidalgo
IZA-HB-II,HB+IZP-2,Coord Territorial 2 Iztapalapa (Barrio Santa Barbara) + Hospital Balbuena (Col Jardin Balbuena),1,2,0,BO_1976_01361,Iztapalapa + Venustiano Carranza
NJ,NJ,,1,1,0,BO_1978_01084,
MJ-CM,HCMS21,Hospital Centro Médico Nacional Siglo XXI (Col Doctores),1,2,1,BO_1975_03941,Cuauhtemoc
MH-1-HRL,HGRL+MH-1,Coord Territorial 1 Miguel Hidalgo – Hospital Ruben Leñero (Col Tacuba) + Hospital Ruben Leñero (Col Santo Tomas),1,2,0,BO_1975_05760,Miguel Hidalgo
MH II,MH-2,Coord Territorial 2 Miguel Hidalgo (Col Pensil),1,1,0,BO_1977_06003,Miguel Hidalgo
MR-HRL,HGRL,Hospital Ruben Leñero (Col Santo Tomas),1,1,0,BO_1976_06044,Miguel Hidalgo
MR-I,MH-1,Coord Territorial 1 Miguel Hidalgo – Hospital Ruben Leñero (Col Tacuba),1,1,0,BO_1976_06242,Miguel Hidalgo
N.O.,N.O.,,1,1,0,BO_1973_01422,
NH-II,NH-II,,1,1,0,BO_1977_01767,
M.A.,M.A.,,1,1,0,BO_1973_03520,
M. Alta,MIL-1,Coord Territorial 1 Milpa Alta (Col Milpa Alta),1,1,0,BO_1972_01399,Milpa Alta
Juarez 4a deleg,CUH-8,Coord Territorial 8 Cuauhtemoc (Col Obrera),1,2,1,BO_1973_02802,Cuauhtemoc
R. Lenero,HGRL,Hospital Ruben Leñero (Col Santo Tomas),1,1,0,BO_1973_04456,Miguel Hidalgo
JB-CM,CMN20N,Hospital Centro Medico Nacional 20 de Noviembre (Col del Valle Sur),1,1,0,BO_1975_03006,Benito Juarez
NJ Edo Mex,NJ Edo Mex,,1,1,0,BO_1977_05091,
Iztapala,IZP-1,Coord Territorial 1 Iztapalapa (Barrio de San Lucas),1,1,0,BO_1973_05407,Iztapalapa
Iztacalco D.F,IZC-1,Coord Territorial 1 Iztacalco (Col Santa Anita),1,1,0,BO_1973_05149,Iztacalco
OZA-2,IZP-1,Coord Territorial 1 Iztapalapa (Barrio de San Lucas),1,1,0,BO_1976_02998,Iztapalapa
Onceava Deleg.,MH-5,Coord Territorial 5 Miguel Hidalgo (Col Ampliacion Daniel Garza),1,1,0,BO_1972_01330,Miguel Hidalgo
Iza,IZP-1,Coord Territorial 1 Iztapalapa (Barrio de San Lucas),1,1,0,BO_1972_01417,Iztapalapa
PGR M-XIII,PGR,Procuraduria General de la Republica,1,2,1,BO_1977_04749,
PP,PP,,1,1,0,BO_1976_06268,
MH-2+VC-1,MH-2,Coord Territorial 2 Miguel Hidalgo (Col Pensil),1,1,0,BO_1976_03612,Miguel Hidalgo
MJ-3,MJ-3,,1,1,0,BO_1975_02506,
MH-2-XH,HX+MH-2,Coord Territorial 2 Miguel Hidalgo (Col Pensil) + Hospital Xoco (Col General Anaya),1,2,0,BO_1975_05960,Benito Juarez + Miguel Hidalgo
MH-3,MH-3,Coord Territorial 3 Miguel Hidalgo – Hospital Cruz Roja (Col Lomas de Chapultepec),1,1,0,BO_1975_05708,Miguel Hidalgo
MH-HRL-BJ-CM,HCMS21+HGRL,Hospital Centro Médico Nacional Siglo XXI (Col Doctores) + Hospital Ruben Leñero (Col Santo Tomas),1,2,0,BO_1975_02957,Cuauhtemoc + Miguel Hidalgo
MH-III-,MH-3,Coord Territorial 3 Miguel Hidalgo – Hospital Cruz Roja (Col Lomas de Chapultepec),1,1,0,BO_1977_05410,Miguel Hidalgo
MH-HRL+AZ-1,AZC-1+HGRL,Coord Territorial 1 Azcapotzalco (Col El Rosario) + Hospital Ruben Leñero (Col Santo Tomas),1,2,0,BO_1975_03136,Azcapotzalco + Miguel Hidalgo
MH-LR,HGRL,Hospital Ruben Leñero (Col Santo Tomas),1,1,0,BO_1977_02641,Miguel Hidalgo
MH-HRI,HGRL,Hospital Ruben Leñero (Col Santo Tomas),1,1,0,BO_1977_03667,Miguel Hidalgo
MH-RL-AZ-1,AZC-1+HGRL,Coord Territorial 1 Azcapotzalco (Col El Rosario) + Hospital Ruben Leñero (Col Santo Tomas),1,2,0,BO_1975_04876,Azcapotzalco + Miguel Hidalgo
MH-RL.C,HGRL,Hospital Ruben Leñero (Col Santo Tomas),1,1,0,BO_1975_00729,Miguel Hidalgo
MH-V,MH-5,Coord Territorial 5 Miguel Hidalgo (Col Ampliacion Daniel Garza),1,1,0,BO_1976_06480,Miguel Hidalgo
MH-VC-HB,HB,Hospital Balbuena (Col Jardin Balbuena),1,3,1,BO_1975_02956,Venustiano Carranza
MH.RL*,HGRL,Hospital Ruben Leñero (Col Santo Tomas),1,1,0,BO_1975_03204,Miguel Hidalgo
MH-HR,HGRL,Hospital Ruben Leñero (Col Santo Tomas),1,1,0,BO_1974_01981,Miguel Hidalgo
MH-HAL,HGRL,Hospital Ruben Leñero (Col Santo Tomas),1,1,0,BO_1977_01165,Miguel Hidalgo
MH-CR-VC-1,CR+VC-1,Coord Territorial 1 Venustiano Carranza (Col Merced) + Cruz Roja (Col Polanco),1,2,0,BO_1975_04196,Miguel Hidalgo + Venustiano Carranza
MH-CR-CU-1,CR+CUH-1,Coord Territorial 1 Cuauhtemoc (Col San Simon Tolnahuac) + Cruz Roja (Col Polanco),1,2,0,BO_1975_05783,Cuauhtemoc + Miguel Hidalgo
MH-CR VC-HB,CR+HB,Cruz Roja (Col Polanco) + Hospital Balbuena (Col Jardin Balbuena),1,2,0,BO_1975_00143,Miguel Hidalgo + Venustiano Carranza
MHRC,MHRC,,1,1,0,BO_1975_01557,
MH-ARL,HGRL,Hospital Ruben Leñero (Col Santo Tomas),1,2,0,BO_1975_06817,Miguel Hidalgo
Ilegible,Ilegible,,1,1,0,BO_1974_02082,
Ref. IZA-II,IZP-2,Coord Territorial 2 Iztapalapa (Barrio Santa Barbara),1,1,0,BO_1976_06526,Iztapalapa
IXO-1,IZC-1,Coord Territorial 1 Iztacalco (Col Santa Anita),1,1,0,BO_1976_04301,Iztacalco
IZA-2 y HX,HX+IZP-2,Coord Territorial 2 Iztapalapa (Barrio Santa Barbara) + Hospital Xoco (Col General Anaya),1,2,0,BO_1976_02878,Benito Juarez + Iztapalapa
Tláhuac,TLH-1,Coord Territorial 1 Tlahuac (Col Del Mar),1,1,0,BO_1972_01579,Tlahuac
UI-HB,HB,Hospital Balbuena (Col Jardin Balbuena),1,1,0,BO_1977_03668,Venustiano Carranza
V-C-HB,HB,Hospital Balbuena (Col Jardin Balbuena),1,1,0,BO_1975_00592,Venustiano Carranza
V. Obregón,VO,Villa Obregon,1,1,0,BO_1972_01905,Alvaro Obregon
V.A.,VO,Villa Obregon,1,1,0,BO_1968_00928,Alvaro Obregon
V.Obregon,VO,Villa Obregon,1,1,0,BO_1968_01216,Alvaro Obregon
V.o.,VO,Villa Obregon,1,1,0,BO_1973_03000,Alvaro Obregon
MH-HRZ,HGRL,Hospital Ruben Leñero (Col Santo Tomas),1,1,0,BO_1975_06801,Miguel Hidalgo
VB-HB,HB,Hospital Balbuena (Col Jardin Balbuena),1,1,0,BO_1975_00915,Venustiano Carranza
VC+1,VC-1,Coord Territorial 1 Venustiano Carranza (Col Merced),1,1,0,BO_1975_02345,Venustiano Carranza
SC+20a,IZP-5,Coord Territorial 5 Iztapalapa (Col V Guerrero),1,1,0,BO_1979_01283,Iztapalapa
VC-2 GAM-2,GAM-2+VC-1,Coord Territorial 1 Venustiano Carranza (Col Merced) + Coord Territorial 2 Gustavo A Madero (Col Aragon La Villa),1,2,0,BO_1975_00881,Gustavo A Madero + Venustiano Carranza
VC-CH,CUH-1,Coord Territorial 1 Cuauhtemoc (Col San Simon Tolnahuac),1,2,1,BO_1977_00614,Cuauhtemoc
VC-CH-V,CUH-5,Coord Territorial 5 Cuauhtémoc (Col Santa María La Ribera),1,2,1,BO_1975_00637,Cuauhtemoc
VC-H,HB,Hospital Balbuena (Col Jardin Balbuena),1,1,0,BO_1975_03639,Venustiano Carranza
VC-HB CH-III,CUH-3+HB,Coord Territorial 3 Cuauhtémoc (Col Morelos) + Hospital Balbuena (Col Jardin Balbuena),1,2,0,BO_1977_05343,Cuauhtemoc + Venustiano Carranza
VC-HB+CH-IV,CUH-4+HB,Coord Territorial 4 Cuauhtémoc (Col Centro) + Hospital Balbuena (Col Jardin Balbuena),1,2,0,BO_1976_00722,Cuauhtemoc + Venustiano Carranza
VC-HB-1,HB,Hospital Balbuena (Col Jardin Balbuena),1,1,0,BO_1975_03489,Venustiano Carranza
VC-HB-2,HB,Hospital Balbuena (Col Jardin Balbuena),1,1,0,BO_1975_00118,Venustiano Carranza
IZ0I,IZC-1,Coord Territorial 1 Iztacalco (Col Santa Anita),1,1,0,BO_1977_05853,Iztacalco
Tlalpan D. P.,TLP-1,Coord Territorial 1 Tlalpan (Col Ampliacion Miguel Hidalgo),1,2,1,BO_1971_02174,Tlalpan
IZA-II / MH-CR,CR+IZP-2,Coord Territorial 2 Iztapalapa (Barrio Santa Barbara) + Cruz Roja (Col Polanco),1,2,0,BO_1977_00058,Iztapalapa + Miguel Hidalgo
Tlahuac DF,TLH-1,Coord Territorial 1 Tlahuac (Col Del Mar),1,1,0,BO_1972_01109,Tlahuac
TR-1,TLP-1,Coord Territorial 1 Tlalpan (Col Ampliacion Miguel Hidalgo),1,1,0,BO_1975_00706,Tlalpan
IZO-U,IZC-1,Coord Territorial 1 Iztacalco (Col Santa Anita),1,1,0,BO_1976_06016,Iztacalco
IZO-I-HX,HX+IZC-1,Coord Territorial 1 Iztacalco (Col Santa Anita) + Hospital Xoco (Col General Anaya),1,2,0,BO_1976_01791,Benito Juarez + Iztacalco
SC-CH,CUH-1+SC,Coord Territorial 1 Cuauhtemoc (Col San Simon Tolnahuac),1,2,0,BO_1975_03009,Cuauhtemoc
Sector Central,SC,,1,1,0,BO_1972_02146,
T,T,,1,1,0,BO_1974_04430,
T-1,T-1,,1,1,0,BO_1975_02878,
T-P-1 MH-CR,CR+TLP-1,Coord Territorial 1 Tlalpan (Col Ampliacion Miguel Hidalgo) + Cruz Roja (Col Polanco),1,2,0,BO_1975_00745,Miguel Hidalgo + Tlalpan
T.P.I-,CR+TLP-1,Coord Territorial 1 Tlalpan (Col Ampliacion Miguel Hidalgo) + Cruz Roja (Col Polanco),1,2,0,BO_1977_05636,Miguel Hidalgo + Tlalpan
IZO-HB-1,HB+IZC-1,Coord Territorial 1 Iztacalco (Col Santa Anita) + Hospital Balbuena (Col Jardin Balbuena),1,2,0,BO_1975_01182,Iztacalco + Venustiano Carranza
TC I,TLP-1,Coord Territorial 1 Tlalpan (Col Ampliacion Miguel Hidalgo),1,1,0,BO_1977_05928,Tlalpan
TC-1-HX,HX+TLP-1,Coord Territorial 1 Tlalpan (Col Ampliacion Miguel Hidalgo) + Hospital Xoco (Col General Anaya),1,2,0,BO_1975_04814,Benito Juarez + Tlalpan
TC-2,TC-2,,1,1,0,BO_1976_05305,
TC-I-,TLP-1,Coord Territorial 1 Tlalpan (Col Ampliacion Miguel Hidalgo),1,1,0,BO_1977_05402,Tlalpan
TEX,TEX,,1,1,0,BO_1976_03162,
TP-C-HX,HX+TLP-1,Coord Territorial 1 Tlalpan (Col Ampliacion Miguel Hidalgo) + Hospital Xoco (Col General Anaya),1,2,0,BO_1975_02830,Benito Juarez + Tlalpan
IZA-VC-HB-,HB+IZP-1,Coord Territorial 1 Iztapalapa (Barrio de San Lucas) + Hospital Balbuena (Col Jardin Balbuena),1,3,1,BO_1975_01723,Iztapalapa + Venustiano Carranza
TP-HX,HX+TLP-1,Coord Territorial 1 Tlalpan (Col Ampliacion Miguel Hidalgo) + Hospital Xoco (Col General Anaya),1,2,0,BO_1975_02586,Benito Juarez + Tlalpan
IZA-III,IZP-3,Coord Territorial 3 Iztapalapa (Central de Abastos),1,1,0,BO_1977_02932,Iztapalapa
TPI,TLP-1,Coord Territorial 1 Tlalpan (Col Ampliacion Miguel Hidalgo),1,1,0,BO_1977_00094,Tlalpan
03a,CUH-7,Coord Territorial 7 Cuauhtemoc (Col Roma),1,1,0,BO_1978_02865,Cuauhtemoc
C.m.n.,CMN20N,Hospital Centro Medico Nacional 20 de Noviembre (Col del Valle Sur),1,1,0,BO_1973_01289,Benito Juarez
H.T. B.,HB,Hospital Balbuena (Col Jardin Balbuena),1,1,0,BO_1972_03599,Venustiano Carranza
37a - 18a,CR+IZC-2,Coord Territorial 2 Iztacalco (Col Gabriel Ramos Millan) + Cruz Roja (Col Polanco),1,2,0,BO_1982_01999,Iztacalco + Miguel Hidalgo
5a deleg.,STCMZV,Sistema de Transporte Colectivo Metro Zarco y Violeta (Col Guerrero),1,1,0,BO_1972_04453,Cuauhtemoc
52a,52a,,1,1,0,BO_1979_04269,
4a. Delegacion,CUH-8,Coord Territorial 8 Cuauhtemoc (Col Obrera),1,1,0,BO_1973_05426,Cuauhtemoc
4a deleg.,CUH-8,Coord Territorial 8 Cuauhtemoc (Col Obrera),1,1,0,BO_1972_04471,Cuauhtemoc
4a Deleg. ,CUH-8,Coord Territorial 8 Cuauhtemoc (Col Obrera),1,1,0,BO_1972_01413,Cuauhtemoc
455,455,,1,1,0,BO_1978_00606,
40a,CUH-8,Coord Territorial 8 Cuauhtemoc (Col Obrera),1,1,0,BO_1979_00483,Cuauhtemoc
3a deleg.,CUH-7,Coord Territorial 7 Cuauhtemoc (Col Roma),1,1,0,BO_1972_05404,Cuauhtemoc
3a deelg,CUH-7,Coord Territorial 7 Cuauhtemoc (Col Roma),1,1,0,BO_1969_00957,Cuauhtemoc
38A,COY-5,Coord Territorial 5 Coyoacan (Col CTM-Culhuacan),1,1,0,BO_1979_01777,Coyoacan
37a+30a,MH-4,Coord Territorial 4 Miguel Hidalgo (Col Ampliacion Daniel Garza),1,1,0,BO_1982_03667,Miguel Hidalgo
37a+18a,CR+IZC-2,Coord Territorial 2 Iztacalco (Col Gabriel Ramos Millan) + Cruz Roja (Col Polanco),1,2,0,BO_1982_00130,Iztacalco + Miguel Hidalgo
37a+14a,AZC-2+CR,Coord Territorial 2 Azcapotzalco (Col Del Maestro) + Cruz Roja (Col Polanco),1,2,0,BO_1982_00631,Azcapotzalco + Miguel Hidalgo
370,370,,1,1,0,BO_1981_02941,
5n,STCMZV,Sistema de Transporte Colectivo Metro Zarco y Violeta (Col Guerrero),1,1,0,BO_1979_05146,Cuauhtemoc
36a+34a,HGRL,Hospital Ruben Leñero (Col Santo Tomas),1,1,0,BO_1982_03458,Miguel Hidalgo
36A,HV,Hospital la Villa (Col Granjas Modernas),1,1,0,BO_1979_01778,Gustavo A Madero
364,364,,1,1,0,BO_1979_00087,
36 H,HV,Hospital la Villa (Col Granjas Modernas),1,1,0,BO_1977_06069,Gustavo A Madero
35a-5a,HX+STCMZV,Hospital Xoco (Col General Anaya) + Sistema de Transporte Colectivo Metro Zarco y Violeta (Col Guerrero),1,2,0,BO_1982_00684,Benito Juarez + Cuauhtemoc
35a+38a,COY-5+HX,Coord Territorial 5 Coyoacan (Col CTM-Culhuacan) + Hospital Xoco (Col General Anaya),1,2,0,BO_1982_03104,Benito Juarez + Coyoacan
35a RL,HX,Hospital Xoco (Col General Anaya),1,1,0,BO_1982_00126,Benito Juarez
35a 22a,COY-1+HX,Coord Territorial 1 Coyoacan (Col Romero de Terreros) + Hospital Xoco (Col General Anaya),1,2,0,BO_1977_04863,Benito Juarez + Coyoacan
35A,HX,Hospital Xoco (Col General Anaya),1,1,0,BO_1982_06268,Benito Juarez
34a+TLA-I,HGRL,Hospital Ruben Leñero (Col Santo Tomas),1,1,0,BO_1982_02505,Miguel Hidalgo
34a+33a,HB,Hospital Balbuena (Col Jardin Balbuena),1,1,0,BO_1982_03639,Venustiano Carranza
34a+13a,BJ-1+GAM-2,Coord Territorial 1 Benito Juarez (Col Santa Cruz Atoyac) + Coord Territorial 2 Gustavo A Madero (Col Aragon La Villa),1,2,0,BO_1978_00822,Benito Juarez + Gustavo A Madero
34A,HGRL,Hospital Ruben Leñero (Col Santo Tomas),1,1,0,BO_1979_05748,Miguel Hidalgo
33a+PPR-I,HB,Hospital Balbuena (Col Jardin Balbuena),1,1,0,BO_1979_07004,Venustiano Carranza
5a+36a,HV+STCMZV,Hospital la Villa (Col Granjas Modernas) + Sistema de Transporte Colectivo Metro Zarco y Violeta (Col Guerrero),1,2,0,BO_1982_00098,Cuauhtemoc + Gustavo A Madero
609,609,,1,1,0,BO_1980_05665,
33a+1a,CUH-1,Coord Territorial 1 Cuauhtemoc (Col San Simon Tolnahuac),1,1,0,BO_1982_03672,Cuauhtemoc
9a Deleg. ,MH-1,Coord Territorial 1 Miguel Hidalgo – Hospital Ruben Leñero (Col Tacuba),1,1,0,BO_1972_01349,Miguel Hidalgo
AZO-I,AZC-1,Coord Territorial 1 Azcapotzalco (Col El Rosario),1,1,0,BO_1976_05562,Azcapotzalco
AZO-1,AZC-1,Coord Territorial 1 Azcapotzalco (Col El Rosario),1,1,0,BO_1976_05017,Azcapotzalco
AZ-I+MH-HRL,AZC-1+HGRL,Coord Territorial 1 Azcapotzalco (Col El Rosario) + Hospital Ruben Leñero (Col Santo Tomas),1,2,0,BO_1976_01494,Azcapotzalco + Miguel Hidalgo
AO.1,AO-1,Coord Territorial 1 Alvaro Obregon (Col Cristo Rey),1,1,0,BO_1976_03178,Alvaro Obregon
AO-1-MH-CR,AO-1+CR,Coord Territorial 1 Alvaro Obregon (Col Cristo Rey) + Cruz Roja (Col Polanco),1,2,0,BO_1975_01835,Alvaro Obregon + Miguel Hidalgo
AO-1-HX,AO-1+HX,Coord Territorial 1 Alvaro Obregon (Col Cristo Rey) + Hospital Xoco (Col General Anaya),1,2,0,BO_1975_04221,Alvaro Obregon + Benito Juarez
AI-I,AO-1,Coord Territorial 1 Alvaro Obregon (Col Cristo Rey),1,1,0,BO_1977_01341,Alvaro Obregon
A2-I,AZC-1,Coord Territorial 1 Azcapotzalco (Col El Rosario),1,1,0,BO_1977_05689,Azcapotzalco
9a+23a,MH-1,Coord Territorial 1 Miguel Hidalgo – Hospital Ruben Leñero (Col Tacuba),1,1,0,BO_1979_03398,Miguel Hidalgo
9a delegaciin,MH-1,Coord Territorial 1 Miguel Hidalgo – Hospital Ruben Leñero (Col Tacuba),1,1,0,BO_1973_05241,Miguel Hidalgo
9a deleg.,MH-1,Coord Territorial 1 Miguel Hidalgo – Hospital Ruben Leñero (Col Tacuba),1,1,0,BO_1972_04459,Miguel Hidalgo
9a delef,MH-1,Coord Territorial 1 Miguel Hidalgo – Hospital Ruben Leñero (Col Tacuba),1,1,0,BO_1973_03505,Miguel Hidalgo
9a 8a,BJ-3+MH-1,Coord Territorial 1 Miguel Hidalgo – Hospital Ruben Leñero (Col Tacuba) + Coord Territorial 3 Benito Juarez (Col Zacahuizco),1,2,0,BO_1978_00685,Benito Juarez + Miguel Hidalgo
69,69,,1,1,0,BO_1981_02073,
90a,MH-1,Coord Territorial 1 Miguel Hidalgo – Hospital Ruben Leñero (Col Tacuba),1,1,0,BO_1979_05926,Miguel Hidalgo
8a+37a+SC,BJ-3,Coord Territorial 3 Benito Juarez (Col Zacahuizco),1,1,0,BO_1982_02340,Benito Juarez
8a deleg.,BJ-3,Coord Territorial 3 Benito Juarez (Col Zacahuizco),1,1,0,BO_1972_01205,Benito Juarez
8a 34a,BJ-3+HGRL,Coord Territorial 3 Benito Juarez (Col Zacahuizco) + Hospital Ruben Leñero (Col Santo Tomas),1,2,0,BO_1978_05288,Benito Juarez + Miguel Hidalgo
85,85,,1,1,0,BO_1980_03281,
81a,81a,,1,1,0,BO_1979_00009,
79,79,,1,1,0,BO_1981_04376,
78a,78a,,1,1,0,BO_1979_04218,
78,78,,1,1,0,BO_1980_02879,
75,75,,1,1,0,BO_1981_05182,
73a,73a,,1,1,0,BO_1977_04403,
6a y grupo 2,CUH-6,Coord Territorial 6 Cuauhtemoc (Col Centro),1,2,1,BO_1969_01297,Cuauhtemoc
6a delegacion,CUH-6,Coord Territorial 6 Cuauhtemoc (Col Centro),1,1,0,BO_1973_05169,Cuauhtemoc
6a Delegacion,CUH-6,Coord Territorial 6 Cuauhtemoc (Col Centro),1,1,0,BO_1973_05216,Cuauhtemoc
